persona_id,persona_name,generated_at,synthetic,Do you consent to voluntarily participate in this anonymous study?,"During the past 12 months, have you worked in marketing or promotional activities?",In which country do you carry out most of your marketing or promotional work?,Which option best describes your work?,How long have you worked in marketing or promotion?,How many people work in the organisation for which you perform most of your marketing activities?,"During the past 12 months, have you used AI in marketing or promotional work?",How often do you use AI in marketing or promotional work?,Which types of AI tools do you use?,For which marketing tasks do you use AI? [Audience and market analysis],"For which marketing tasks do you use AI? [Strategy, goals, and KPI planning]","For which marketing tasks do you use AI? [Segmentation, personas, and personalisation]",For which marketing tasks do you use AI? [Writing promotional content],For which marketing tasks do you use AI? [Creating or editing images and video],For which marketing tasks do you use AI? [Running or optimising advertising campaigns],"For which marketing tasks do you use AI? [Audience communication, customer service, and chatbots]",For which marketing tasks do you use AI? [Results analysis and reporting],To what extent do you agree with the following statements? [AI helps me complete marketing tasks faster],To what extent do you agree with the following statements? [AI helps me tailor communication to audiences],To what extent do you agree with the following statements? [AI helps me create more ideas and content],To what extent do you agree with the following statements? [AI makes data analysis and decision-making easier],To what extent do you agree with the following statements? [AI improves the quality of prepared materials],How significant are the following barriers for you? [Incorrect or fabricated AI outputs],How significant are the following barriers for you? [Data protection and confidentiality],How significant are the following barriers for you? [Copyright and legal compliance],How significant are the following barriers for you? [Content that does not match the brand’s style or quality],How significant are the following barriers for you? [Biased or discriminatory outputs],How significant are the following barriers for you? [Lack of skills or clear procedures],How significant are the following barriers for you? [Costs or difficulties with implementation and integration],What do you or your organisation do to reduce risks related to AI?,Have you taken part in training on the use of AI in marketing or communication?,"If you wish, briefly describe one benefit, one problem, or one condition for the responsible use of AI in marketing."
P015,Layla Saleh,2026-09-24T22:20:10+00:00,yes,Yes,Yes,germany,I work in an in-house marketing team,More than 10 years,2–9 people,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Almost always,In most tasks,I do not perform this type of task,Almost always,I do not perform this type of task,Strongly agree,Difficult to say,Strongly agree,Agree,Strongly agree,Moderate barrier,Not a barrier,Not a barrier,Minor barrier,Not a barrier,Not a barrier,Minor barrier,"Content is reviewed by a person, Materials are approved by a supervisor or client, We use training or internal AI guidelines",Yes,"more ideas in less time, especially when many versions of visuals are needed. it makes things up and sounds very sure about it. everything has to be checked before it goes out"
P016,Lisa de Groot,2026-09-24T22:20:10+00:00,yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P017,Klara Lindström,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Sweden,I work as a freelancer,More than 10 years,I work independently / one-person business,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",Almost always,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,Strongly agree,Difficult to say,Strongly agree,Strongly agree,Agree,Minor barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,Not a barrier,We do not enter confidential or personal data into AI tools,"No, and I do not plan to","More ideas in less time, especially when many versions of replies to customers are needed"
P018,Georgia Davies,2026-09-24T22:20:10+00:00,yes,Yes,Yes,spain,I work in an in-house marketing team,1–3 years,2–9 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems, Chatbots or customer service",In most tasks,In a few tasks,In some tasks,Almost always,In most tasks,In most tasks,In most tasks,In most tasks,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Difficult to say,Major barrier,Minor barrier,Moderate barrier,Not a barrier,Minor barrier,Minor barrier,"Content is reviewed by a person, We check facts and sources, Materials are approved by a supervisor or client","No, but I plan to",
P020,Esra Arslan,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Germany,I work at a marketing or advertising agency,More than 10 years,2–9 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Other (please specify)",I do not perform this type of task,In some tasks,I do not perform this type of task,Almost always,In some tasks,In some tasks,I do not perform this type of task,Never,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Moderate barrier,Minor barrier,Moderate barrier,Minor barrier,Minor barrier,Moderate barrier,Minor barrier,"Content is reviewed by a person, We use training or internal AI guidelines","No, but I plan to",Problem: it makes things up and sounds very sure about it.
P021,Lina Olsson,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Sweden,I work in an in-house marketing team,7–10 years,50–249 people,Yes,Once a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",Never,I do not perform this type of task,I do not perform this type of task,In some tasks,In some tasks,Never,Never,In a few tasks,Neither agree nor disagree,Disagree,Neither agree nor disagree,Difficult to say,Disagree,Moderate barrier,Major barrier,Moderate barrier,Major barrier,Minor barrier,Moderate barrier,Moderate barrier,"Content is reviewed by a person, We check facts and sources, We use training or internal AI guidelines",Yes,Fine as long as someone who knwos the brand reviews everything and we are honest with clients about it.
P022,Gregor Novak,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Slovenia,I work in an in-house marketing team,Less than 1 year,2–9 people,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",In a few tasks,In a few tasks,In a few tasks,In a few tasks,I do not perform this type of task,In a few tasks,In a few tasks,I do not perform this type of task,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Major barrier,Moderate barrier,Moderate barrier,Major barrier,Minor barrier,Moderate barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources","No, and I do not plan to",
P023,Agnė Urbonaitė,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Lithuania,Other marketing-related role (please specify),1–3 years,50–249 people,Yes,Once a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",I do not perform this type of task,In a few tasks,Never,In a few tasks,In a few tasks,Never,In a few tasks,Never,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Very major barrier,Major barrier,Very major barrier,Moderate barrier,Moderate barrier,Very major barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, Materials are approved by a supervisor or client, We use training or internal AI guidelines",Yes,
P024,Montserrat Ramos,2026-09-24T22:20:10+00:00,yes,Yes,Yes,spain,I work at a marketing or advertising agency,1–3 years,10–49 people,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), AI in advertising or marketing automation systems",I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,In some tasks,I do not perform this type of task,I do not perform this type of task,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Difficult to say,Not a barrier,Moderate barrier,Not a barrier,Not a barrier,Moderate barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We use training or internal AI guidelines","No, but I plan to",
P026,Ainhoa Castro,2026-09-24T22:20:10+00:00,yes,Yes,Yes,germany,I work as a freelancer,1–3 years,Difficult to say / not applicable,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Analytics, prediction, or audience segmentation",I do not perform this type of task,In a few tasks,I do not perform this type of task,In most tasks,Never,I do not perform this type of task,In most tasks,In most tasks,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Major barrier,Difficult to say,Minor barrier,Difficult to say,Not a barrier,Minor barrier,Minor barrier,"Content is reviewed by a person, We check facts and sources, Materials are approved by a supervisor or client, We do not use formal practices","No, and I do not plan to",
P028,Artem Kravchenko,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Ukraine,I run my own business and manage its marketing,4–6 years,Difficult to say / not applicable,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In some tasks,I do not perform this type of task,In most tasks,In most tasks,In most tasks,In most tasks,I do not perform this type of task,In some tasks,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Moderate barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools",Yes,
P029,Vinícius Cardoso Araújo,2026-09-24T22:20:10+00:00,yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P030,Levente Papp,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Hungary,I work in an in-house marketing team,More than 10 years,10–49 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Chatbots or customer service",In most tasks,I do not perform this type of task,In a few tasks,Almost always,In some tasks,I do not perform this type of task,In some tasks,I do not perform this type of task,Difficult to say,Agree,Agree,Agree,Agree,Minor barrier,Not a barrier,Moderate barrier,Minor barrier,Minor barrier,Moderate barrier,Difficult to say,"Content is reviewed by a person, We check facts and sources",Yes,Fine as long as someone who knows the brand reviews everything and we are honest with clients about it
P032,Đorđe Živković,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Serbia,I run my own business and manage its marketing,More than 10 years,2–9 people,Yes,Several times a month,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In most tasks,I do not perform this type of task,In some tasks,In most tasks,In most tasks,In some tasks,Almost always,I do not perform this type of task,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not a barrier,Not a barrier,Not a barrier,Minor barrier,Difficult to say,Not a barrier,Moderate barrier,"Content is reviewed by a person, We disclose the use of AI when required, We do not use formal practices",Yes,
P034,Ilze Jansone,2026-09-24T22:20:10+00:00,yes,Yes,Yes,latvia,I run my own business and manage its marketing,More than 10 years,2–9 people,Yes,Several times a month,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In some tasks,Never,I do not perform this type of task,In a few tasks,In a few tasks,I do not perform this type of task,In some tasks,Never,Agree,Agree,Agree,Neither agree nor disagree,Difficult to say,Major barrier,Very major barrier,Moderate barrier,Major barrier,Moderate barrier,Difficult to say,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We do not use formal practices","No, but I plan to",
P035,Ainhoa Fernández López,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Spain,I work at a marketing or advertising agency,More than 10 years,10–49 people,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,In some tasks,I do not perform this type of task,In some tasks,In some tasks,I do not perform this type of task,In some tasks,Never,Agree,Agree,Strongly agree,Agree,Strongly agree,Minor barrier,Minor barrier,Moderate barrier,Moderate barrier,Difficult to say,Minor barrier,Minor barrier,"We check facts and sources, Materials are approved by a supervisor or client, We use training or internal AI guidelines",Yes,Nobody really knows who owns the generated images. Everything has to be checked before it goes out.
P036,Hanne Andreassen,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Norway,I run my own business and manage its marketing,4–6 years,2–9 people,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), AI in advertising or marketing automation systems",Never,I do not perform this type of task,In some tasks,Almost always,Never,In most tasks,Almost always,I do not perform this type of task,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Minor barrier,Difficult to say,Not a barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,"Content is reviewed by a person, Materials are approved by a supervisor or client",Yes,Never put clint data into these tools.
P037,Declan Murray,2026-09-24T22:20:10+00:00,yes,Yes,Yes,United Kingdom,I run my own business and manage its marketing,More than 10 years,2–9 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",Almost always,In some tasks,In some tasks,Almost always,I do not perform this type of task,Never,I do not perform this type of task,In a few tasks,Agree,Neither agree nor disagree,Difficult to say,Agree,Neither agree nor disagree,Moderate barrier,Moderate barrier,Moderate barrier,Difficult to say,Not a barrier,Minor barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We do not use formal practices","No, and I do not plan to",
P038,Mantas Butkus,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Lithuania,I work as a freelancer,More than 10 years,I work independently / one-person business,Yes,Once a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",Never,Never,I do not perform this type of task,In some tasks,In a few tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Neither agree nor disagree,Disagree,Agree,Difficult to say,Disagree,Very major barrier,Moderate barrier,Moderate barrier,Major barrier,Minor barrier,Difficult to say,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, Materials are approved by a supervisor or client","No, and I do not plan to",Clients use AI as an arguemnt to pay less. Everything has to be checked before it goes out.
P039,Carolin Meyer,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Germany,Other marketing-related role (please specify),4–6 years,50–249 people,Yes,Every day,"Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Moderate barrier,Moderate barrier,Major barrier,Major barrier,Moderate barrier,Major barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We use training or internal AI guidelines","No, but I plan to","Clear rlues in the team: what data we can use, who approves, when we say that AI was used."
P041,Klára Marková,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Czech Republic,I work in an in-house marketing team,4–6 years,10–49 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems",In a few tasks,I do not perform this type of task,In some tasks,Almost always,I do not perform this type of task,In most tasks,In some tasks,In most tasks,Agree,Agree,Neither agree nor disagree,Agree,Agree,Minor barrier,Minor barrier,Moderate barrier,Moderate barrier,Minor barrier,Not a barrier,Moderate barrier,"Content is reviewed by a person, We use training or internal AI guidelines",Yes,
P042,Sofia Mendes,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Portugal,I work at a marketing or advertising agency,More than 10 years,50–249 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), AI in advertising or marketing automation systems, Analytics, prediction, or audience segmentation",In most tasks,I do not perform this type of task,Almost always,Almost always,I do not perform this type of task,In most tasks,I do not perform this type of task,Almost always,Agree,Strongly agree,Agree,Agree,Agree,Moderate barrier,Moderate barrier,Minor barrier,Minor barrier,Difficult to say,Not a barrier,Minor barrier,"Content is reviewed by a person, We check facts and sources, We use training or internal AI guidelines",Yes,
P043,Jan Hoffmann,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Portugal,I run my own business and manage its marketing,More than 10 years,2–9 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",In most tasks,In most tasks,Almost always,Almost always,In a few tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Agree,Difficult to say,Strongly agree,Agree,Agree,Minor barrier,Minor barrier,Difficult to say,Minor barrier,Moderate barrier,Moderate barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We do not use formal practices","No, but I plan to",
P044,Marco Pedrazzini,2026-09-24T22:20:10+00:00,yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P045,Viktoriia Kovalska,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Ukraine,I run my own business and manage its marketing,More than 10 years,2–9 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In a few tasks,I do not perform this type of task,I do not perform this type of task,Almost always,In most tasks,In some tasks,Almost always,I do not perform this type of task,Difficult to say,Agree,Strongly agree,Agree,Difficult to say,Moderate barrier,Moderate barrier,Minor barrier,Difficult to say,Minor barrier,Moderate barrier,Major barrier,"Content is reviewed by a person, We do not use formal practices","No, but I plan to",
P046,Lucy Williams,2026-09-24T22:20:10+00:00,yes,Yes,Yes,UK,I work at a marketing or advertising agency,More than 10 years,10–49 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems",In most tasks,I do not perform this type of task,I do not perform this type of task,Almost always,In some tasks,In some tasks,In most tasks,I do not perform this type of task,Strongly agree,Difficult to say,Strongly agree,Strongly agree,Strongly agree,Not a barrier,Minor barrier,Moderate barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,"Content is reviewed by a person, Materials are approved by a supervisor or client, We use training or internal AI guidelines",Yes,
P047,Anu Sepp,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Estonia,I work as a freelancer,7–10 years,I work independently / one-person business,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",In most tasks,In some tasks,I do not perform this type of task,I do not perform this type of task,In some tasks,In most tasks,I do not perform this type of task,In some tasks,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Minor barrier,Moderate barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Minor barrier,"Content is reviewed by a person, We check facts and sources, Materials are approved by a supervisor or client","No, but I plan to",
P048,Duarte Correia Silva,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Portugal,I work in an in-house marketing team,7–10 years,Difficult to say / not applicable,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems",I do not perform this type of task,In some tasks,I do not perform this type of task,In most tasks,In most tasks,In a few tasks,I do not perform this type of task,I do not perform this type of task,Strongly agree,Neither agree nor disagree,Strongly agree,Difficult to say,Agree,Moderate barrier,Minor barrier,Moderate barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, Materials are approved by a supervisor or client, We use training or internal AI guidelines",Yes,Saves time on poosts and ad copy
P049,Anna Steiner,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Switzerland,I work in an in-house marketing team,More than 10 years,250 people or more,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems",Never,I do not perform this type of task,Never,Almost always,In a few tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Major barrier,Moderate barrier,Moderate barrier,Major barrier,Minor barrier,Very major barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources","No, and I do not plan to",Problem: it makes things up and sounds very sure about it.
P050,Håkon Haugen,2026-09-24T22:20:10+00:00,yes,Yes,Yes,norway,I run my own business and manage its marketing,1–3 years,50–249 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",Almost always,In some tasks,I do not perform this type of task,In some tasks,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We disclose the use of AI when required","No, and I do not plan to",problem: we depend on a few big US companies.
P051,Nathalie Vincent,2026-09-24T22:20:10+00:00,yes,Yes,Yes,France,I work in an in-house marketing team,7–10 years,10–49 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In a few tasks,I do not perform this type of task,Almost always,Almost always,Almost always,I do not perform this type of task,In some tasks,In most tasks,Agree,Agree,Strongly agree,Agree,Agree,Difficult to say,Not a barrier,Difficult to say,Minor barrier,Not a barrier,Minor barrier,Not a barrier,Content is reviewed by a person,"No, and I do not plan to",
