respondent_id,language,submitted_at,synthetic,status,P1,P2,P3,P3_country,P4,P4_other,P5,P6,P7,P8,P9_1,P9_2,P9_3,P9_4,P9_5,P9_other,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P11_1,P11_2,P11_3,P11_4,P11_5,P12_1,P12_2,P12_3,P12_4,P12_5,P12_6,P12_7,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,P13_8,P13_conflict,P14,P15
P016,EN,2026-09-24T21:55:02+00:00,yes,ended_at_P2,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P017,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Sweden,Sweden,I work as a freelancer,,More than 10 years,I work independently / one-person business,Yes,Several times a week,1,1,0,0,0,,Almost always,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,Strongly agree,Difficult to say,Strongly agree,Strongly agree,Agree,Minor barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,Not a barrier,0,1,0,0,0,0,0,0,0,"No, and I do not plan to","More ideas in less time, especially when many versions of replies to customers are needed"
P018,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,spain,Spain,I work in an in-house marketing team,,1–3 years,2–9 people,Yes,Every day,1,1,1,0,1,,In most tasks,In a few tasks,In some tasks,Almost always,In most tasks,In most tasks,In most tasks,In most tasks,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Difficult to say,Major barrier,Minor barrier,Moderate barrier,Not a barrier,Minor barrier,Minor barrier,1,0,1,1,0,0,0,0,0,"No, but I plan to",
P020,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Germany,Germany,I work at a marketing or advertising agency,,More than 10 years,2–9 people,Yes,Every day,1,0,0,0,0,translation (DeepL),I do not perform this type of task,In some tasks,I do not perform this type of task,Almost always,In some tasks,In some tasks,I do not perform this type of task,Never,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Moderate barrier,Minor barrier,Moderate barrier,Minor barrier,Minor barrier,Moderate barrier,Minor barrier,1,0,0,0,1,0,0,0,0,"No, but I plan to",Problem: it makes things up and sounds very sure about it.
P021,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Sweden,Sweden,I work in an in-house marketing team,,7–10 years,50–249 people,Yes,Once a week,1,1,0,0,0,,Never,I do not perform this type of task,I do not perform this type of task,In some tasks,In some tasks,Never,Never,In a few tasks,Neither agree nor disagree,Disagree,Neither agree nor disagree,Difficult to say,Disagree,Moderate barrier,Major barrier,Moderate barrier,Major barrier,Minor barrier,Moderate barrier,Moderate barrier,1,0,1,0,1,0,0,0,0,Yes,Fine as long as someone who knwos the brand reviews everything and we are honest with clients about it.
P022,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Slovenia,Slovenia,I work in an in-house marketing team,,Less than 1 year,2–9 people,Yes,Several times a week,1,0,0,0,0,,In a few tasks,In a few tasks,In a few tasks,In a few tasks,I do not perform this type of task,In a few tasks,In a few tasks,I do not perform this type of task,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Major barrier,Moderate barrier,Moderate barrier,Major barrier,Minor barrier,Moderate barrier,Moderate barrier,1,1,1,0,0,0,0,0,0,"No, and I do not plan to",
P023,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Lithuania,Lithuania,Other,e-commerce manager,1–3 years,50–249 people,Yes,Once a week,1,0,0,0,0,,I do not perform this type of task,In a few tasks,Never,In a few tasks,In a few tasks,Never,In a few tasks,Never,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Very major barrier,Major barrier,Very major barrier,Moderate barrier,Moderate barrier,Very major barrier,Moderate barrier,1,1,1,1,1,0,0,0,0,Yes,
P024,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,spain,Spain,I work at a marketing or advertising agency,,1–3 years,10–49 people,Yes,Several times a week,1,0,1,0,0,,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,In some tasks,I do not perform this type of task,I do not perform this type of task,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Difficult to say,Not a barrier,Moderate barrier,Not a barrier,Not a barrier,Moderate barrier,Minor barrier,1,1,0,0,1,0,0,0,0,"No, but I plan to",
P026,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,germany,Germany,I work as a freelancer,,1–3 years,Difficult to say / not applicable,Yes,Several times a week,1,0,0,1,0,,I do not perform this type of task,In a few tasks,I do not perform this type of task,In most tasks,Never,I do not perform this type of task,In most tasks,In most tasks,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Major barrier,Difficult to say,Minor barrier,Difficult to say,Not a barrier,Minor barrier,Minor barrier,1,0,1,1,0,0,1,0,0,"No, and I do not plan to",
P028,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Ukraine,Ukraine,I run my own business and manage its marketing,,4–6 years,Difficult to say / not applicable,Yes,Every day,1,1,0,0,0,,In some tasks,I do not perform this type of task,In most tasks,In most tasks,In most tasks,In most tasks,I do not perform this type of task,In some tasks,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Moderate barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,1,1,0,0,0,0,0,0,0,Yes,
P029,EN,2026-09-24T21:55:02+00:00,yes,ended_at_P2,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P030,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Hungary,Hungary,I work in an in-house marketing team,,More than 10 years,10–49 people,Yes,Every day,1,0,0,0,1,,In most tasks,I do not perform this type of task,In a few tasks,Almost always,In some tasks,I do not perform this type of task,In some tasks,I do not perform this type of task,Difficult to say,Agree,Agree,Agree,Agree,Minor barrier,Not a barrier,Moderate barrier,Minor barrier,Minor barrier,Moderate barrier,Difficult to say,1,0,1,0,0,0,0,0,0,Yes,Fine as long as someone who knows the brand reviews everything and we are honest with clients about it
P032,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Serbia,Serbia,I run my own business and manage its marketing,,More than 10 years,2–9 people,Yes,Several times a month,1,1,0,0,0,,In most tasks,I do not perform this type of task,In some tasks,In most tasks,In most tasks,In some tasks,Almost always,I do not perform this type of task,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not a barrier,Not a barrier,Not a barrier,Minor barrier,Difficult to say,Not a barrier,Moderate barrier,1,0,0,0,0,1,1,0,0,Yes,
P034,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,latvia,Latvia,I run my own business and manage its marketing,,More than 10 years,2–9 people,Yes,Several times a month,1,1,0,0,0,,In some tasks,Never,I do not perform this type of task,In a few tasks,In a few tasks,I do not perform this type of task,In some tasks,Never,Agree,Agree,Agree,Neither agree nor disagree,Difficult to say,Major barrier,Very major barrier,Moderate barrier,Major barrier,Moderate barrier,Difficult to say,Minor barrier,1,1,1,0,0,0,1,0,0,"No, but I plan to",
P035,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Spain,Spain,I work at a marketing or advertising agency,,More than 10 years,10–49 people,Yes,Several times a week,1,1,0,0,0,,I do not perform this type of task,In some tasks,I do not perform this type of task,In some tasks,In some tasks,I do not perform this type of task,In some tasks,Never,Agree,Agree,Strongly agree,Agree,Strongly agree,Minor barrier,Minor barrier,Moderate barrier,Moderate barrier,Difficult to say,Minor barrier,Minor barrier,0,0,1,1,1,0,0,0,0,Yes,Nobody really knows who owns the generated images. Everything has to be checked before it goes out.
P036,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Norway,Norway,I run my own business and manage its marketing,,4–6 years,2–9 people,Yes,Several times a week,1,0,1,0,0,,Never,I do not perform this type of task,In some tasks,Almost always,Never,In most tasks,Almost always,I do not perform this type of task,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Minor barrier,Difficult to say,Not a barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,1,0,0,1,0,0,0,0,0,Yes,Never put clint data into these tools.
P037,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,United Kingdom,United Kingdom,I run my own business and manage its marketing,,More than 10 years,2–9 people,Yes,Every day,1,0,0,0,0,,Almost always,In some tasks,In some tasks,Almost always,I do not perform this type of task,Never,I do not perform this type of task,In a few tasks,Agree,Neither agree nor disagree,Difficult to say,Agree,Neither agree nor disagree,Moderate barrier,Moderate barrier,Moderate barrier,Difficult to say,Not a barrier,Minor barrier,Moderate barrier,1,1,0,0,0,0,1,0,0,"No, and I do not plan to",
P038,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Lithuania,Lithuania,I work as a freelancer,,More than 10 years,I work independently / one-person business,Yes,Once a week,1,0,0,0,0,,Never,Never,I do not perform this type of task,In some tasks,In a few tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Neither agree nor disagree,Disagree,Agree,Difficult to say,Disagree,Very major barrier,Moderate barrier,Moderate barrier,Major barrier,Minor barrier,Difficult to say,Moderate barrier,1,1,1,1,0,0,0,0,0,"No, and I do not plan to",Clients use AI as an arguemnt to pay less. Everything has to be checked before it goes out.
P039,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Germany,Germany,Other,graphic designer (promo materials),4–6 years,50–249 people,Yes,Every day,0,1,0,0,0,,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Moderate barrier,Moderate barrier,Major barrier,Major barrier,Moderate barrier,Major barrier,Moderate barrier,1,1,0,0,1,0,0,0,0,"No, but I plan to","Clear rlues in the team: what data we can use, who approves, when we say that AI was used."
P041,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Czech Republic,Czechia,I work in an in-house marketing team,,4–6 years,10–49 people,Yes,Every day,1,1,1,0,0,,In a few tasks,I do not perform this type of task,In some tasks,Almost always,I do not perform this type of task,In most tasks,In some tasks,In most tasks,Agree,Agree,Neither agree nor disagree,Agree,Agree,Minor barrier,Minor barrier,Moderate barrier,Moderate barrier,Minor barrier,Not a barrier,Moderate barrier,1,0,0,0,1,0,0,0,0,Yes,
P042,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Portugal,Portugal,I work at a marketing or advertising agency,,More than 10 years,50–249 people,Yes,Every day,1,0,1,1,0,,In most tasks,I do not perform this type of task,Almost always,Almost always,I do not perform this type of task,In most tasks,I do not perform this type of task,Almost always,Agree,Strongly agree,Agree,Agree,Agree,Moderate barrier,Moderate barrier,Minor barrier,Minor barrier,Difficult to say,Not a barrier,Minor barrier,1,0,1,0,1,0,0,0,0,Yes,
P043,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Portugal,Portugal,I run my own business and manage its marketing,,More than 10 years,2–9 people,Yes,Every day,1,0,0,0,0,,In most tasks,In most tasks,Almost always,Almost always,In a few tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Agree,Difficult to say,Strongly agree,Agree,Agree,Minor barrier,Minor barrier,Difficult to say,Minor barrier,Moderate barrier,Moderate barrier,Moderate barrier,1,1,1,0,0,0,1,0,0,"No, but I plan to",
P044,EN,2026-09-24T21:55:02+00:00,yes,ended_at_P2,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P045,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Ukraine,Ukraine,I run my own business and manage its marketing,,More than 10 years,2–9 people,Yes,Every day,1,1,0,0,0,,In a few tasks,I do not perform this type of task,I do not perform this type of task,Almost always,In most tasks,In some tasks,Almost always,I do not perform this type of task,Difficult to say,Agree,Strongly agree,Agree,Difficult to say,Moderate barrier,Moderate barrier,Minor barrier,Difficult to say,Minor barrier,Moderate barrier,Major barrier,1,0,0,0,0,0,1,0,0,"No, but I plan to",
P046,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,UK,United Kingdom,I work at a marketing or advertising agency,,More than 10 years,10–49 people,Yes,Every day,1,1,1,0,0,,In most tasks,I do not perform this type of task,I do not perform this type of task,Almost always,In some tasks,In some tasks,In most tasks,I do not perform this type of task,Strongly agree,Difficult to say,Strongly agree,Strongly agree,Strongly agree,Not a barrier,Minor barrier,Moderate barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,1,0,0,1,1,0,0,0,0,Yes,
P047,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Estonia,Estonia,I work as a freelancer,,7–10 years,I work independently / one-person business,Yes,Every day,1,0,0,0,0,,In most tasks,In some tasks,I do not perform this type of task,I do not perform this type of task,In some tasks,In most tasks,I do not perform this type of task,In some tasks,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Minor barrier,Moderate barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Minor barrier,1,0,1,1,0,0,0,0,0,"No, but I plan to",
P048,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Portugal,Portugal,I work in an in-house marketing team,,7–10 years,Difficult to say / not applicable,Yes,Every day,1,1,1,0,0,,I do not perform this type of task,In some tasks,I do not perform this type of task,In most tasks,In most tasks,In a few tasks,I do not perform this type of task,I do not perform this type of task,Strongly agree,Neither agree nor disagree,Strongly agree,Difficult to say,Agree,Moderate barrier,Minor barrier,Moderate barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,1,1,0,1,1,0,0,0,0,Yes,Saves time on poosts and ad copy
P049,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Switzerland,Switzerland,I work in an in-house marketing team,,More than 10 years,250 people or more,Yes,Several times a week,1,1,1,0,0,,Never,I do not perform this type of task,Never,Almost always,In a few tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Major barrier,Moderate barrier,Moderate barrier,Major barrier,Minor barrier,Very major barrier,Moderate barrier,1,1,1,0,0,0,0,0,0,"No, and I do not plan to",Problem: it makes things up and sounds very sure about it.
P050,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,norway,Norway,I run my own business and manage its marketing,,1–3 years,50–249 people,Yes,Every day,1,1,0,0,0,,Almost always,In some tasks,I do not perform this type of task,In some tasks,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Minor barrier,1,1,1,0,0,1,0,0,0,"No, and I do not plan to",problem: we depend on a few big US companies.
P051,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,France,France,I work in an in-house marketing team,,7–10 years,10–49 people,Yes,Every day,1,1,0,0,0,,In a few tasks,I do not perform this type of task,Almost always,Almost always,Almost always,I do not perform this type of task,In some tasks,In most tasks,Agree,Agree,Strongly agree,Agree,Agree,Difficult to say,Not a barrier,Difficult to say,Minor barrier,Not a barrier,Minor barrier,Not a barrier,1,0,0,0,0,0,0,0,0,"No, and I do not plan to",
P053,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Italy,Italy,I work at a marketing or advertising agency,,1–3 years,50–249 people,Yes,Every day,1,0,1,0,0,,In most tasks,I do not perform this type of task,In most tasks,I do not perform this type of task,In some tasks,In most tasks,I do not perform this type of task,In some tasks,Strongly agree,Strongly agree,Agree,Agree,Agree,Moderate barrier,Minor barrier,Minor barrier,Moderate barrier,Not a barrier,Not a barrier,Minor barrier,1,1,0,1,1,1,0,0,0,Yes,
P054,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,United Kingdom,United Kingdom,I run my own business and manage its marketing,,More than 10 years,Difficult to say / not applicable,Yes,Every day,1,1,0,0,0,,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,In most tasks,In some tasks,I do not perform this type of task,Strongly agree,Agree,Strongly agree,Strongly agree,Difficult to say,Moderate barrier,Not a barrier,Not a barrier,Moderate barrier,Not a barrier,Not a barrier,Not a barrier,1,1,1,0,0,0,1,0,0,"No, and I do not plan to",
P055,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Serbia,Serbia,Other,"sales, with a lot of marketing on the side",4–6 years,250 people or more,Yes,Several times a week,1,0,1,0,0,,In most tasks,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,In some tasks,Never,Agree,Agree,Agree,Strongly agree,Agree,Moderate barrier,Minor barrier,Minor barrier,Moderate barrier,Minor barrier,Minor barrier,Not a barrier,1,0,1,0,1,0,0,0,0,Yes,
P056,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,United Kingdom,United Kingdom,I work in an in-house marketing team,,4–6 years,2–9 people,No,,,,,,,,,,,,,,,,,,,,,Very major barrier,Major barrier,Moderate barrier,Moderate barrier,Minor barrier,Very major barrier,Moderate barrier,0,0,0,0,0,0,0,1,0,"No, but I plan to",
P058,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Ukraine,Ukraine,I work in an in-house marketing team,,4–6 years,10–49 people,Yes,Several times a month,1,0,0,0,0,,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In a few tasks,Never,I do not perform this type of task,Never,I do not perform this type of task,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Moderate barrier,Moderate barrier,Major barrier,Major barrier,Minor barrier,Major barrier,Moderate barrier,1,1,1,0,0,0,0,0,0,"No, and I do not plan to",
P059,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,austria,Austria,I run my own business and manage its marketing,,7–10 years,10–49 people,Yes,Once a week,1,1,0,0,0,,I do not perform this type of task,I do not perform this type of task,In a few tasks,In some tasks,Never,In a few tasks,In a few tasks,I do not perform this type of task,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Major barrier,Very major barrier,Moderate barrier,Moderate barrier,Minor barrier,Difficult to say,Major barrier,1,1,1,0,0,0,0,0,0,"No, and I do not plan to",
P060,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Italy,Italy,I work in an in-house marketing team,,1–3 years,2–9 people,Yes,Several times a week,1,0,0,1,0,,In some tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In a few tasks,Almost always,I do not perform this type of task,In most tasks,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Not a barrier,Moderate barrier,Difficult to say,Minor barrier,Minor barrier,Not a barrier,Minor barrier,1,1,1,0,1,1,0,0,0,Yes,
P061,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Ireland,Ireland,I work in an in-house marketing team,,More than 10 years,50–249 people,No,,,,,,,,,,,,,,,,,,,,,Very major barrier,Very major barrier,Very major barrier,Very major barrier,Moderate barrier,Very major barrier,Major barrier,0,0,0,0,0,0,0,1,0,"No, and I do not plan to","I don't use AI, I don't trust it for client work. Also everything starts to sound the same, that generic AI tone."
P064,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Germany,Germany,Other,e-commerce manager,7–10 years,10–49 people,Yes,Every day,1,0,0,1,0,,In some tasks,I do not perform this type of task,Never,I do not perform this type of task,I do not perform this type of task,In some tasks,In some tasks,In some tasks,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Minor barrier,Major barrier,Major barrier,Minor barrier,Not a barrier,Minor barrier,Not a barrier,1,0,0,1,0,0,0,0,0,"No, but I plan to",
P065,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Germany,Germany,I work as a freelancer,,7–10 years,I work independently / one-person business,No,,,,,,,,,,,,,,,,,,,,,Major barrier,Major barrier,Major barrier,Moderate barrier,Moderate barrier,Very major barrier,Very major barrier,0,0,0,0,0,0,0,1,0,"No, and I do not plan to",
P066,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,France,France,I work as a freelancer,,7–10 years,I work independently / one-person business,Yes,Every day,1,0,0,0,0,,I do not perform this type of task,In some tasks,I do not perform this type of task,In some tasks,In a few tasks,In a few tasks,Almost always,In a few tasks,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Not a barrier,Minor barrier,Major barrier,Moderate barrier,Not a barrier,Minor barrier,Minor barrier,0,1,0,0,0,0,1,0,0,"No, and I do not plan to",
P067,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Belgium,Belgium,I work in an in-house marketing team,,Less than 1 year,10–49 people,Yes,Every day,1,1,0,1,0,,I do not perform this type of task,In most tasks,I do not perform this type of task,Almost always,I do not perform this type of task,In some tasks,In most tasks,In most tasks,Agree,Strongly agree,Agree,Agree,Agree,Minor barrier,Moderate barrier,Difficult to say,Moderate barrier,Not a barrier,Minor barrier,Not a barrier,1,0,0,0,0,0,0,0,0,"No, but I plan to",Saves time on campaign planning.
P068,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Greece,Greece,I work in an in-house marketing team,,7–10 years,50–249 people,Yes,Every day,1,1,1,0,1,,Almost always,I do not perform this type of task,I do not perform this type of task,Almost always,In some tasks,I do not perform this type of task,Almost always,In most tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Moderate barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Minor barrier,Minor barrier,1,1,1,0,1,0,0,0,0,"No, but I plan to",
P069,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,spain,Spain,I work at a marketing or advertising agency,,4–6 years,2–9 people,No,,,,,,,,,,,,,,,,,,,,,Major barrier,Major barrier,Major barrier,Major barrier,Major barrier,Major barrier,Difficult to say,0,0,0,0,0,0,0,1,0,"No, and I do not plan to","I don't use AI, no time to learn it yet. also people paste client data into it without thinking."
