column,question_id,question,row_or_option,values
P12_2,P12,How significant are the following barriers for you?,Data protection and confidentiality,Not a barrier | Minor barrier | Moderate barrier | Major barrier | Very major barrier | Difficult to say
P12_3,P12,How significant are the following barriers for you?,Copyright and legal compliance,Not a barrier | Minor barrier | Moderate barrier | Major barrier | Very major barrier | Difficult to say
P12_4,P12,How significant are the following barriers for you?,Content that does not match the brand’s style or quality,Not a barrier | Minor barrier | Moderate barrier | Major barrier | Very major barrier | Difficult to say
P12_5,P12,How significant are the following barriers for you?,Biased or discriminatory outputs,Not a barrier | Minor barrier | Moderate barrier | Major barrier | Very major barrier | Difficult to say
P12_6,P12,How significant are the following barriers for you?,Lack of skills or clear procedures,Not a barrier | Minor barrier | Moderate barrier | Major barrier | Very major barrier | Difficult to say
P12_7,P12,How significant are the following barriers for you?,Costs or difficulties with implementation and integration,Not a barrier | Minor barrier | Moderate barrier | Major barrier | Very major barrier | Difficult to say
P13_1,P13,What do you or your organisation do to reduce risks related to AI?,Content is reviewed by a person,"1 = ticked, 0 = not ticked, empty = question not shown"
P13_2,P13,What do you or your organisation do to reduce risks related to AI?,We do not enter confidential or personal data into AI tools,"1 = ticked, 0 = not ticked, empty = question not shown"
P13_3,P13,What do you or your organisation do to reduce risks related to AI?,We check facts and sources,"1 = ticked, 0 = not ticked, empty = question not shown"
P13_4,P13,What do you or your organisation do to reduce risks related to AI?,Materials are approved by a supervisor or client,"1 = ticked, 0 = not ticked, empty = question not shown"
P13_5,P13,What do you or your organisation do to reduce risks related to AI?,We use training or internal AI guidelines,"1 = ticked, 0 = not ticked, empty = question not shown"
P13_6,P13,What do you or your organisation do to reduce risks related to AI?,We disclose the use of AI when required,"1 = ticked, 0 = not ticked, empty = question not shown"
P13_7,P13,What do you or your organisation do to reduce risks related to AI?,We do not use formal practices,"1 = ticked, 0 = not ticked, empty = question not shown"
P13_8,P13,What do you or your organisation do to reduce risks related to AI?,I do not use AI / not applicable — select only this answer,"1 = ticked, 0 = not ticked, empty = question not shown"
P13_conflict,P13,What do you or your organisation do to reduce risks related to AI?,1 = 'I do not use AI / not applicable — select only this answer' ticked together with other options,1 / 0
P14,P14,Have you taken part in training on the use of AI in marketing or communication?,,"Yes | No, but I plan to | No, and I do not plan to"
P15,P15,"If you wish, briefly describe one benefit, one problem, or one condition for the responsible use of AI in marketing.",,text
